Machine,Job,Gap 20,Gap 10,Gap 5,Gap 0
5, 8,0.3,1.779,2.1,2.218
5, 8,0.053,0.495,0.832,1.071
5, 8,0.455,0.922,1.075,1.098
5, 8,0.729,2.47,6.196,10.563
5, 8,1.277,3.388,6.418,7.867
5, 8,1.035,2.486,5.162,6.545
5, 8,0.532,2.263,4.37,5.8
5, 8,0.219,0.911,2.338,2.754
5, 8,0.217,2.147,2.34,2.36
5, 8,0.072,0.417,0.562,0.625
5, 8,0.091,0.524,0.989,1.158
5, 8,0.039,0.674,0.929,1.292
5, 8,0.266,0.654,0.831,0.856
5, 8,0.092,0.617,1.706,1.896
5, 8,0.035,0.499,0.658,0.87
5, 8,0.097,0.609,0.635,0.69
5, 8,0.17,1.026,2.055,2.194
5, 8,0.234,0.447,0.714,0.983
5, 8,0.029,0.347,0.436,0.469
5, 8,0.677,0.93,1.674,2.069
5, 8,0.555,2.366,3.158,3.364
5, 8,0.147,2.124,5.287,6.45
5, 8,0.148,0.691,1.037,1.169
5, 8,0.063,0.463,0.956,1.292
5, 8,0.177,0.813,1.942,2.136
5, 8,0.035,0.528,0.773,0.862
5, 8,0.484,2.084,2.413,2.473
5, 8,0.138,0.688,0.958,1.008
5, 8,0.151,2.01,2.2,2.359
5, 8,0.459,1.109,2.606,3.002
5, 8,0.126,2.097,7.776,11.455
5, 8,0.073,0.821,1.227,1.542
5, 8,0.53,1.007,1.236,1.385
5, 8,0.036,0.544,0.66,0.861
5, 8,0.081,0.964,1.238,1.611
5, 8,0.381,0.743,2.088,2.302
5, 8,0.087,0.954,2.351,2.641
5, 8,0.084,0.759,0.961,1.128
5, 8,0.258,2.787,9.355,10.595
5, 8,0.169,0.505,0.759,0.842
5, 8,0.878,1.178,1.534,1.691
5, 8,0.073,0.628,0.965,1.383
5, 8,0.108,0.83,1.735,1.896
5, 8,0.08,0.537,0.914,1.453
5, 8,0.098,0.784,1.063,1.181
5, 8,0.151,1.839,2.718,3.419
5, 8,1.093,2.479,3.66,4.188
5, 8,0.812,2.395,5.301,7.234
5, 8,0.195,0.612,2.298,2.641
5, 8,0.099,0.694,0.855,1.02
5, 8,0.025,0.532,0.694,0.861
5, 8,0.485,1.787,3.562,5.027
5, 8,0.245,0.761,0.871,0.928
5, 8,0.196,0.765,2.032,2.37
5, 8,0.145,1.439,2.958,4.388
5, 8,0.043,0.519,0.843,0.944
5, 8,0.386,2,2.812,3.298
5, 8,0.144,0.673,1.141,1.42
5, 8,0.059,0.476,0.766,1.033
5, 8,0.874,2.354,2.623,2.767
5, 8,0.301,0.442,0.489,0.552
5, 8,0.126,0.95,2.19,2.636
5, 8,0.075,0.933,2.299,2.605
5, 8,0.175,1.358,2.71,3.45
5, 8,0.161,1.425,1.808,2.074
5, 8,0.346,0.89,1.533,1.835
5, 8,0.081,0.757,0.877,0.901
5, 8,0.094,0.631,2.541,3.689
5, 8,0.085,0.415,0.821,1.176
5, 8,0.138,2.076,7.416,11.198
5, 8,0.103,0.648,1.046,1.359
5, 8,0.195,0.954,1.192,1.426
5, 8,0.061,0.694,0.797,0.824
5, 8,0.503,2.464,3.515,4.469
5, 8,1.089,2.176,2.886,3.213
5, 8,0.192,1.122,1.849,1.971
5, 8,0.039,0.509,0.628,0.806
5, 8,0.806,1.193,1.885,1.943
5, 8,0.153,0.832,0.979,1.151
5, 8,0.036,0.374,0.634,0.822
5, 8,0.525,0.945,1.504,1.747
5, 8,0.494,2.045,3.003,3.495
5, 8,0.054,0.626,0.708,0.832
5, 8,0.14,1.071,2.272,2.408
5, 8,0.531,1.151,1.562,1.594
5, 8,0.396,0.644,0.863,0.91
5, 8,0.598,1.743,3.307,3.974
5, 8,0.088,0.98,1.142,1.193
5, 8,0.104,0.707,1.005,1.288
5, 8,0.422,2.126,5.01,7.258
